,Temperature (C),Apparent Temperature (C),Humidity,Wind Speed (km/h),Wind Bearing (degrees),Visibility (km),Pressure (millibars)
82752,22.649999999999995,22.649999999999995,0.82,3.0751,50.0,15.7297,1016.21
76418,14.966666666666663,14.966666666666663,0.93,4.7334000000000005,316.0,15.7297,1015.12
79683,17.205555555555556,17.205555555555556,0.81,1.61,284.0,16.1,1012.75
41019,12.683333333333332,12.683333333333332,0.96,3.22,120.0,9.8532,1007.17
19732,-1.4888888888888887,-4.222222222222223,0.89,7.293300000000001,268.0,6.2468,1024.29
15508,1.1388888888888873,-3.85,0.85,20.4953,1.0,2.9141000000000004,1002.03
25750,11.06111111111111,11.06111111111111,0.83,20.93,50.0,10.0464,1016.59
11488,9.883333333333333,7.76111111111111,0.65,15.1823,190.0,9.9015,1007.79
77942,7.15,7.15,0.74,2.9463000000000004,160.0,7.3094,1025.89
17591,14.15,14.15,0.74,11.237800000000002,158.0,14.9569,1004.08
9421,17.244444444444444,17.244444444444444,0.51,16.035600000000002,299.0,9.982,1016.74
47262,-7.677777777777777,-7.677777777777777,1.0,0.0,0.0,2.4633000000000003,1020.63
32629,25.13888888888889,25.13888888888889,0.49,13.3791,321.0,11.4471,1017.74
35515,20.966666666666665,20.966666666666665,0.42,13.7011,13.0,9.982,1022.31
95624,11.011111111111113,11.011111111111113,0.6,19.803,314.0,10.3523,1019.93
6969,5.272222222222223,3.055555555555556,0.93,9.7405,134.0,0.3864,1018.68
81033,4.955555555555557,1.6111111111111105,0.93,15.665300000000002,180.0,3.4454,1036.08
68984,10.92777777777778,10.92777777777778,0.72,16.840600000000002,160.0,15.826300000000002,1024.66
94446,6.211111111111111,3.611111111111111,0.81,12.7351,160.0,8.9677,1019.6
39017,30.08333333333333,32.30555555555556,0.56,4.3309,299.0,11.3988,1013.65
8170,22.22222222222222,22.22222222222222,0.46,17.549000000000003,130.0,9.982,0.0
83882,16.63888888888889,16.63888888888889,0.66,18.724300000000003,20.0,15.1823,1022.32
3267,-12.805555555555555,-16.799999999999997,0.76,6.1341,39.0,15.826300000000002,1043.46
31734,0.0,-5.783333333333333,0.82,24.15,30.0,9.982,1022.6
6412,9.333333333333332,6.177777777777776,0.89,24.0373,279.0,15.3111,1003.51
46474,-3.9555555555555566,-8.53888888888889,0.93,11.8657,358.0,1.3363,1027.24
79150,3.1944444444444446,1.4833333333333345,0.88,6.5205,319.0,16.1,1021.36
69543,20.9,20.9,0.43,20.125,262.0,15.826300000000002,1016.5
86298,7.9944444444444445,7.138888888888889,0.81,6.1502,230.0,9.8532,1020.62
12972,18.63888888888889,18.63888888888889,0.69,38.4951,330.0,11.27,1010.69
46052,4.005555555555556,2.005555555555555,0.81,7.905100000000001,189.0,9.982,1018.81
4154,18.3,18.3,0.94,3.1717,140.0,11.3505,1020.05
73065,2.844444444444443,-0.4944444444444447,1.0,12.799500000000002,289.0,2.4955000000000003,1016.2
66746,2.6611111111111105,-0.944444444444444,0.79,14.023100000000005,300.0,11.8979,1018.47
58466,13.88888888888889,13.88888888888889,0.72,6.44,100.0,16.1,1016.4
8782,13.055555555555555,13.055555555555555,0.7,6.44,100.0,15.826300000000002,1028.62
56615,18.205555555555552,18.205555555555552,0.64,14.0392,9.0,15.3111,1021.06
7514,-0.5833333333333337,-0.5833333333333337,0.92,3.22,80.0,14.812,1023.92
3952,33.83888888888888,33.48888888888889,0.32,7.5187,190.0,9.982,1018.38
75958,3.933333333333332,-1.072222222222222,0.82,27.3378,21.0,15.826300000000002,1030.3
87442,12.405555555555557,12.405555555555557,0.79,32.3932,11.0,9.982,1025.71
66052,20.511111111111116,20.511111111111116,0.93,6.44,50.0,14.9086,1015.13
52297,12.36111111111111,12.36111111111111,0.68,6.4078,49.0,15.826300000000002,1020.93
75472,12.96111111111111,12.96111111111111,0.58,7.615300000000001,152.0,15.552600000000002,1015.44
64207,1.0666666666666675,-2.9777777777777774,0.93,14.457800000000002,252.0,10.4811,999.06
45870,0.0055555555555544,-3.055555555555556,0.92,9.1287,202.0,4.588500000000001,1015.56
23854,19.255555555555556,19.255555555555556,0.7,10.8192,103.0,14.9569,1015.87
79338,16.0,16.0,0.56,4.8783,181.0,16.1,1013.97
92750,24.944444444444446,24.944444444444446,0.35,2.7692,184.0,15.552600000000002,1016.72
88773,17.666666666666668,17.666666666666668,0.84,10.5616,331.0,16.1,1022.4
8687,18.200000000000003,18.200000000000003,0.7,11.1573,302.0,14.9569,1020.4
10500,-5.077777777777778,-5.077777777777778,0.92,3.22,310.0,0.161,1039.97
91402,32.82222222222222,32.361111111111114,0.34,15.456,161.0,16.1,1012.09
87684,22.75555555555555,22.75555555555555,0.37,26.726000000000003,261.0,16.1,1011.41
46164,1.1333333333333329,-1.838888888888888,0.64,9.5956,109.0,9.982,1020.79
75400,6.672222222222221,1.3722222222222216,0.8,42.7616,339.0,9.982,1012.04
74261,20.59444444444444,20.59444444444444,0.84,7.1967,115.0,9.982,1012.53
35000,14.877777777777778,14.877777777777778,0.68,16.1161,328.0,10.3684,1022.06
89450,-1.583333333333334,-5.1,0.94,9.6761,173.0,5.6028,1020.15
84136,5.344444444444443,5.344444444444443,0.93,2.3989000000000003,64.0,7.1001,1026.09
43554,21.04444444444444,21.04444444444444,0.63,14.3612,140.0,11.27,1001.41
80307,17.872222222222224,17.872222222222224,0.97,0.0,0.0,14.812,1017.21
12487,13.844444444444443,13.844444444444443,0.77,5.1681,279.0,9.9015,1014.72
73325,8.794444444444444,6.205555555555557,0.9,16.9533,140.0,15.552600000000002,1003.96
31177,18.33333333333333,18.33333333333333,0.93,3.22,200.0,15.134000000000002,1010.4
83368,27.89444444444444,28.511111111111106,0.52,7.9373,189.0,16.1,1013.97
79258,17.727777777777774,17.727777777777774,0.3,19.8513,10.0,16.1,1021.52
11364,7.783333333333331,5.872222222222223,0.76,10.706500000000002,90.0,6.8264000000000005,1016.95
19980,4.949999999999998,0.7999999999999987,0.27,21.847700000000003,338.0,9.982,1027.46
74030,30.938888888888886,30.03333333333333,0.34,10.3845,343.0,15.552600000000002,1014.75
9993,20.622222222222224,20.622222222222224,0.73,10.6421,283.0,11.511500000000002,1015.89
21534,13.983333333333334,13.983333333333334,0.82,7.985600000000001,347.0,11.2056,1016.48
44980,18.82222222222222,18.82222222222222,0.87,3.0751,110.0,15.826300000000002,1013.53
71929,3.672222222222222,0.4111111111111122,0.92,13.363,38.0,7.856800000000001,1019.82
62680,24.838888888888885,24.838888888888885,0.37,12.0911,348.0,15.826300000000002,1018.33
33894,13.88888888888889,13.88888888888889,0.9,12.88,290.0,11.27,1013.4
82655,18.000000000000004,18.000000000000004,0.88,10.0303,292.0,15.552600000000002,1015.88
76592,11.02777777777778,11.02777777777778,0.77,31.282300000000003,9.0,9.982,1007.65
23701,27.31111111111111,27.327777777777776,0.44,13.4918,143.0,11.4471,1004.83
46424,-2.894444444444445,-6.527777777777778,0.98,9.2736,29.0,3.2039,1021.16
51518,9.955555555555556,8.683333333333334,1.0,9.4829,51.0,2.5760000000000005,1024.69
2708,-3.861111111111111,-8.511111111111111,0.91,12.1877,319.0,4.1216,1008.07
71638,1.0777777777777766,-3.4722222222222223,0.9,17.388,138.0,8.1466,1013.94
9138,16.822222222222223,16.822222222222223,0.23,14.0875,31.0,15.826300000000002,1024.85
21118,-0.038888888888889,-0.038888888888889,0.93,3.9928,225.0,6.1502,1020.79
82502,-3.822222222222221,-8.11111111111111,0.78,10.8675,140.0,14.9086,1035.37
74035,21.13888888888889,21.13888888888889,0.8,3.22,330.0,16.1,1015.53
14739,14.283333333333337,14.283333333333337,0.7,11.0446,150.0,15.826300000000002,1014.37
80516,0.9722222222222222,0.9722222222222222,0.89,3.3649,146.0,5.9731000000000005,1029.93
58357,7.222222222222222,4.15,0.41,17.71,40.0,9.982,1020.9
46555,-1.1277777777777784,-3.594444444444444,0.87,6.745900000000001,172.0,10.9158,1028.51
45291,17.666666666666668,17.666666666666668,0.82,16.985500000000002,320.0,8.05,1012.31
58774,18.8,18.8,0.69,10.448900000000002,129.0,15.150100000000002,1011.15
66157,26.088888888888885,26.088888888888885,0.68,11.3666,341.0,11.27,1007.99
13354,26.9,26.85555555555556,0.41,7.438200000000001,321.0,11.27,1012.51
12516,25.0,25.0,0.33,11.5437,301.0,10.0464,1020.0
50446,2.155555555555557,2.155555555555557,0.9,3.22,330.0,1.9803,1023.42
26899,17.77777777777778,17.77777777777778,0.43,22.540000000000003,50.0,11.27,1008.3
87110,28.97222222222222,28.75555555555556,0.42,15.021300000000002,162.0,15.552600000000002,1012.37
21330,23.45,23.45,0.64,32.9567,330.0,11.27,1011.52
6575,1.0166666666666655,-2.972222222222223,0.78,14.0875,149.0,9.982,1015.68
53813,10.938888888888888,10.938888888888888,0.84,4.7334000000000005,11.0,14.9569,1021.58
41395,23.066666666666663,23.066666666666663,0.58,3.703,296.0,11.3988,1008.3
51872,7.066666666666666,4.549999999999999,0.82,13.4113,331.0,11.0768,1010.51
10832,-6.0888888888888895,-6.0888888888888895,0.88,4.5563,151.0,5.9731000000000005,1030.06
12917,20.6,20.6,0.68,11.3344,332.0,14.9569,1014.07
37832,-2.883333333333334,-6.911111111111111,0.8,10.6099,22.0,4.8461,1024.78
25303,7.144444444444444,7.144444444444444,0.93,4.7978000000000005,270.0,3.0107000000000004,1031.37
73819,17.17777777777778,17.17777777777778,0.87,14.296800000000005,269.0,9.7566,1005.03
44047,4.877777777777778,4.877777777777778,0.86,1.6744,358.0,9.982,1023.42
32063,10.0,6.894444444444442,0.8,25.76,150.0,16.1,987.1
46024,7.294444444444445,3.0444444444444425,0.5,30.235800000000005,300.0,11.4471,1021.14
92267,28.55,30.07222222222222,0.58,13.9104,287.0,10.3523,1009.34
89105,22.91111111111111,22.91111111111111,0.44,4.0572,64.0,15.552600000000002,1018.86
52812,7.861111111111111,4.01111111111111,0.85,27.2734,10.0,8.5974,1007.33
23201,12.977777777777778,12.977777777777778,0.59,13.6689,160.0,9.982,1008.59
58902,12.094444444444449,12.094444444444449,0.68,14.441700000000004,338.0,9.982,1016.69
80423,3.1555555555555554,1.5166666666666648,0.96,6.295100000000001,300.0,6.0697,1034.84
61316,21.172222222222224,21.172222222222224,0.68,16.0034,6.0,11.0768,1018.06
88719,30.050000000000004,30.416666666666668,0.45,12.525800000000002,207.0,15.826300000000002,1013.39
84188,6.555555555555554,3.483333333333335,0.71,16.438100000000002,160.0,15.922900000000002,1034.58
16009,4.444444444444445,1.7555555555555538,0.85,11.2217,270.0,9.982,1020.89
46804,4.005555555555556,1.2666666666666673,0.99,11.0285,150.0,9.7566,1015.5
86248,13.555555555555555,13.555555555555555,0.91,12.8639,41.0,5.6511,1013.49
35715,9.283333333333337,6.71111111111111,0.93,17.838800000000003,357.0,4.6690000000000005,1016.91
40323,0.6277777777777792,-2.7999999999999994,0.82,11.0446,221.0,15.826300000000002,1014.92
71401,19.86111111111111,19.86111111111111,0.93,6.1502,190.0,16.1,1012.01
85110,13.88888888888889,13.88888888888889,0.93,7.824600000000001,210.0,9.9015,1012.07
91344,14.883333333333333,14.883333333333333,0.87,3.059,337.0,16.1,1017.76
50676,2.755555555555556,2.755555555555556,0.78,0.9016000000000002,252.0,4.588500000000001,1027.51
55332,11.11111111111111,11.11111111111111,0.61,24.15,10.0,11.27,1014.5
38814,20.95555555555556,20.95555555555556,0.93,0.0,0.0,6.295100000000001,1011.6
18694,16.555555555555557,16.555555555555557,0.81,3.1556,182.0,15.826300000000002,1019.48
69835,17.244444444444444,17.244444444444444,0.54,11.27,290.0,16.1,1013.7
37013,-3.933333333333332,-9.066666666666666,0.99,14.1841,320.0,3.059,1022.26
12370,4.933333333333335,2.811111111111112,0.92,9.032100000000002,184.0,5.957000000000001,1022.24
33433,1.1111111111111112,-2.933333333333334,0.69,14.49,110.0,16.1,1008.0
62974,-0.1055555555555562,-0.1055555555555562,0.87,3.0429,353.0,7.695800000000001,1028.46
23735,15.38888888888889,15.38888888888889,0.87,11.253900000000002,328.0,9.9015,1011.24
56159,7.222222222222222,3.788888888888889,0.73,20.93,250.0,16.1,992.6
84400,12.122222222222222,12.122222222222222,0.57,17.227,141.0,8.855,1014.0
3132,-0.9722222222222222,-6.755555555555556,0.8,22.137500000000003,320.0,11.2056,1020.21
12236,6.161111111111113,1.8444444444444448,0.7,26.9031,299.0,9.982,1018.7
57378,28.911111111111115,28.16111111111111,0.36,12.5097,350.0,9.982,1018.45
46126,4.705555555555555,3.111111111111112,0.9,6.923,199.0,4.5402000000000005,1012.18
35538,21.13333333333334,21.13333333333334,0.46,15.456,168.0,9.982,1022.63
15509,0.1222222222222216,-4.444444444444445,0.92,16.1,9.0,1.8998,1002.13
68512,18.688888888888886,18.688888888888886,0.62,24.633000000000003,194.0,15.7297,1005.62
90841,-6.799999999999999,-6.799999999999999,0.92,3.3327,145.0,2.6404,1027.29
20729,-2.2000000000000006,-4.0,0.88,4.8622000000000005,333.0,1.5456,1024.17
78353,16.038888888888888,16.038888888888888,0.93,0.3381,134.0,10.1752,1017.36
94536,7.477777777777779,5.42777777777778,0.88,11.109000000000002,270.0,0.0,1019.49
17825,13.777777777777777,13.777777777777777,0.55,5.763800000000001,207.0,11.0285,1012.89
24114,17.955555555555552,17.955555555555552,0.42,4.008900000000001,61.0,9.982,1015.56
53363,25.96111111111112,25.96111111111112,0.38,10.5455,14.0,10.3523,1019.93
1494,7.127777777777776,7.127777777777776,1.0,3.6386,245.0,7.969500000000001,1020.03
87283,11.461111111111112,11.461111111111112,0.81,6.44,350.0,16.1,1015.25
49082,8.872222222222222,8.872222222222222,0.93,2.4633000000000003,82.0,15.826300000000002,1021.36
91761,27.28888888888889,28.46111111111112,0.6,3.381,297.0,9.982,1015.91
89880,3.333333333333333,0.4555555555555557,1.0,11.0124,171.0,6.295100000000001,1016.57
16479,8.916666666666664,7.522222222222221,0.71,9.0965,306.0,11.2056,1018.92
5338,5.927777777777779,5.133333333333335,0.63,5.0393,233.0,7.1645,1017.82
29749,-2.255555555555554,-2.255555555555554,0.75,4.1377,82.0,6.3434,1028.18
8389,22.77777777777778,22.77777777777778,0.62,17.066,1.0,11.2056,1020.23
44443,17.288888888888888,17.288888888888888,0.39,2.898,208.0,9.982,1013.27
67472,22.10555555555556,22.10555555555556,0.59,14.312900000000004,113.0,9.982,1013.39
21156,-0.9111111111111114,-4.294444444444445,0.92,9.66,170.0,0.161,1029.0
43405,19.92777777777778,19.92777777777778,0.53,23.4899,300.0,11.27,1015.67
23502,13.58888888888889,13.58888888888889,0.73,0.0,0.0,9.982,1018.11
74585,27.29444444444444,26.883333333333333,0.36,9.0643,48.0,15.552600000000002,1016.64
7360,20.055555555555557,20.055555555555557,0.52,11.8979,100.0,10.3523,1020.72
21581,14.02777777777778,14.02777777777778,0.94,4.347,180.0,11.0124,1009.2
19975,-2.8611111111111103,-5.1944444444444455,0.5,5.7799000000000005,224.0,9.982,1030.03
84031,9.944444444444445,9.944444444444445,0.5,1.4812,232.0,15.021300000000002,1027.14
1021,32.58888888888888,35.49444444444444,0.5,11.382700000000002,252.0,9.982,1016.61
44816,22.12222222222222,22.12222222222222,0.68,8.1466,148.0,9.982,1018.26
33835,4.111111111111111,1.93888888888889,0.89,8.645700000000001,37.0,9.982,1017.97
49627,-0.0944444444444453,-5.927777777777779,0.63,24.3432,20.0,9.982,1036.06
41463,26.03888888888889,26.03888888888889,0.36,8.8872,268.0,9.982,1009.46
9409,5.499999999999999,3.0444444444444425,0.6,11.109000000000002,231.0,15.826300000000002,1016.13
63149,-2.822222222222221,-6.505555555555556,0.92,9.4668,141.0,0.4669,1026.49
6445,16.549999999999997,16.549999999999997,0.5,19.0946,67.0,11.3988,1027.56
82815,27.88888888888889,27.538888888888884,0.4,14.0714,31.0,10.2557,1021.52
92939,3.7944444444444434,1.0666666666666675,0.89,10.7709,280.0,7.905100000000001,1017.21
48450,29.92777777777778,29.65,0.4,20.1733,221.0,9.982,1009.24
42997,15.0,15.0,0.67,20.2538,129.0,9.982,1019.51
35355,3.672222222222222,2.183333333333333,0.91,6.0858,247.0,15.826300000000002,1016.61
23142,7.127777777777776,4.500000000000001,0.72,14.2163,77.0,9.982,1009.59
56843,27.05555555555556,27.68333333333333,0.53,16.2771,342.0,10.3523,1016.66
37604,2.177777777777779,-2.966666666666667,0.92,23.8924,291.0,6.118,995.54
70234,12.244444444444444,12.244444444444444,0.5,4.1699,28.0,15.826300000000002,1017.89
22623,23.35555555555556,23.35555555555556,0.51,7.615300000000001,221.0,11.27,1013.93
15938,8.461111111111109,6.594444444444443,0.93,11.1895,213.0,3.2844,1018.56
35942,30.91111111111111,34.73333333333333,0.6,8.8067,346.0,11.0768,1016.3
7723,11.35,11.35,0.81,2.5277000000000003,8.0,9.982,1019.83
95348,5.4,4.288888888888888,0.81,5.7316,141.0,5.796,1019.97
5520,7.777777777777778,6.9555555555555575,0.74,5.9087000000000005,184.0,15.649200000000002,1018.1
78032,12.011111111111113,12.011111111111113,0.62,7.4704,333.0,6.0697,1028.13
61457,17.26111111111111,17.26111111111111,0.47,16.7601,161.0,11.3988,1013.06
59142,16.11111111111111,16.11111111111111,0.78,11.27,330.0,9.982,1013.3
53673,28.800000000000004,28.98888888888889,0.46,3.3005,223.0,9.982,1015.39
34989,15.0,15.0,0.6,11.27,310.0,9.982,1021.2
7954,14.955555555555556,14.955555555555556,0.72,11.0768,337.0,9.982,1022.53
11325,8.305555555555557,7.394444444444446,0.87,6.5205,70.0,14.731500000000002,1017.45
15612,4.938888888888889,4.938888888888889,0.83,4.3631,285.0,6.5366,1022.45
82231,2.6,-0.9277777777777788,0.79,13.5401,337.0,6.166300000000001,1024.45
46538,-10.550000000000002,-10.550000000000002,0.96,3.0429,188.0,0.3059,1023.95
32357,13.88888888888889,13.88888888888889,0.9,4.83,330.0,9.982,1019.4
21071,-9.077777777777778,-15.33888888888889,0.84,14.023100000000005,130.0,7.808499999999999,1033.77
10772,-5.116666666666667,-5.116666666666667,0.85,4.717300000000001,133.0,1.5778,1031.87
90586,-1.1111111111111112,-4.361111111111112,0.54,9.0965,223.0,11.8818,1028.76
87539,24.205555555555552,24.205555555555552,0.6,11.109000000000002,314.0,15.3111,1014.41
19145,4.883333333333333,1.8166666666666684,0.83,13.7816,137.0,9.982,1017.51
32885,12.22222222222222,12.22222222222222,0.72,9.66,140.0,9.982,1020.0
76233,22.17222222222222,22.17222222222222,0.46,12.8478,169.0,10.2557,1018.26
1879,2.0222222222222226,-0.7000000000000008,0.87,9.2897,271.0,8.758400000000002,1031.43
8215,16.93888888888889,16.93888888888889,0.56,15.407700000000002,108.0,9.982,1015.61
67610,11.066666666666668,11.066666666666668,0.94,6.295100000000001,270.0,14.9569,1003.25
88807,23.79444444444444,23.79444444444444,0.54,17.2109,11.0,16.1,1021.4
80169,28.86111111111111,30.122222222222224,0.55,13.8138,157.0,9.982,1017.72
83527,22.75555555555555,22.75555555555555,0.52,11.3505,290.0,9.982,1010.63
30576,20.55555555555556,20.55555555555556,0.87,3.22,130.0,16.1,1008.4
4778,21.37222222222222,21.37222222222222,0.9,4.4275,124.0,15.3111,1016.86
82595,26.18333333333333,26.18333333333333,0.35,14.5544,260.0,15.552600000000002,1017.81
